reward_Cash Back,reward_Points,mailer_type_Postcard,income_level_Low,income_level_Medium,credit_rating_Low,credit_rating_Medium,household_2,household_3,household_4,household_5,household_6,min_sqrt,q3_balance_sqrt,offer_accepted
0,0,0,0,0,0,0,0,0,1,0,0,0.6668779246073455,0.7451669837502193,No
0,0,0,0,1,0,1,0,0,0,1,0,0.5773502691896257,0.816496580927726,No
0,0,1,0,0,0,1,1,0,0,0,0,0.7071067811865475,0.7071067811865475,No
0,0,0,0,1,0,0,0,0,1,0,0,0.5219499300879882,0.8529761253875424,No
0,0,0,0,1,0,1,0,0,0,0,1,0.5205502200091708,0.8538310538088926,No
0,0,0,0,1,0,0,0,0,1,0,0,0.6313133419195618,0.7755278617266786,No
0,0,0,0,1,0,1,0,1,0,0,0,0.5249515337008401,0.8511321209219728,No
1,0,1,1,0,0,1,0,0,1,0,0,0.5626248862163209,0.8267123063134308,No
0,0,1,0,1,1,0,0,0,1,0,0,0.7071067811865475,0.7071067811865475,No
0,0,0,0,0,1,0,0,0,1,0,0,0.42758611847467826,0.903974618718777,No
0,0,1,0,1,0,1,1,0,0,0,0,0.5863981717949643,0.8100229528325252,No
1,0,1,0,0,0,1,0,0,0,1,0,0.6170800895377676,0.7869003514397873,No
0,1,0,0,1,1,0,1,0,0,0,0,0.5735393346764045,0.8191780219091253,No
0,1,0,1,0,0,0,0,1,0,0,0,0.7071067811865476,0.7071067811865476,No
0,0,0,1,0,0,0,0,1,0,0,0,0.599449610024679,0.800412496804779,No
1,0,0,0,0,1,0,1,0,0,0,0,0.39899638244919855,0.9169524997470986,No
0,1,1,1,0,0,1,0,0,1,0,0,0.6081636405595373,0.7938116818876942,No
0,0,1,1,0,0,0,0,0,1,0,0,0.34284891128942246,0.9393905598991602,No
0,1,1,0,1,1,0,0,0,1,0,0,0.5522855285260561,0.8336550215650926,No
1,0,0,0,1,0,0,0,0,0,1,0,0.673359089125566,0.7393155869396966,No
0,1,1,1,0,0,0,0,0,1,0,0,0.6311170003066864,0.775687651006441,No
0,1,0,0,1,1,0,0,1,0,0,0,0.49953994776334365,0.8662908521902999,No
0,0,1,0,0,0,0,0,0,0,1,0,0.6476337333577394,0.7619518012427797,No
1,0,0,1,0,1,0,0,0,1,0,0,0.6532851744725203,0.757111934138149,No
1,0,1,0,1,0,0,0,0,0,1,0,0.6189678767254004,0.7854163020857472,No
0,0,1,1,0,1,0,0,0,0,0,0,0.41551991596526067,0.9095840804654743,No
0,0,0,0,1,1,0,1,0,0,0,0,0.2071841649822589,0.9783019583853464,Yes
1,0,1,0,1,1,0,0,1,0,0,0,0.6410049902025559,0.7675367108714874,No
0,1,1,0,0,0,1,0,0,0,0,0,0.6107896307764017,0.7917929192257449,No
0,1,0,0,1,0,0,0,1,0,0,0,0.6371930928643099,0.7707041990322975,No
1,0,1,1,0,1,0,0,0,0,1,0,0.7071067811865476,0.7071067811865476,No
0,1,1,1,0,0,0,0,0,1,0,0,0.24323457641350904,0.9699674947321384,No
0,0,1,1,0,0,1,0,0,1,0,0,0.6517871759591436,0.7584019232934501,No
0,0,0,0,1,1,0,1,0,0,0,0,0.5330256383103882,0.8460990892938031,No
0,1,0,0,0,0,0,0,0,1,0,0,0.650245178333764,0.759724429022584,No
0,0,1,0,1,0,1,1,0,0,0,0,0.7071067811865476,0.7071067811865476,No
0,0,1,0,1,0,1,0,0,1,0,0,0.6317677063467305,0.7751577679526866,No
0,0,1,0,0,1,0,0,0,0,0,1,0.34299717028501764,0.9393364366277241,No
0,0,1,1,0,0,1,0,1,0,0,0,0.6914781822318996,0.7223973446084002,No
0,0,0,1,0,0,0,0,1,0,0,0,0.6653530364904816,0.74652885867386,No
0,0,0,0,0,0,1,0,1,0,0,0,0.46354722850843494,0.8860722131644512,No
1,0,1,0,1,0,1,0,0,1,0,0,0.3310546124102552,0.9436115957330621,No
0,0,0,0,0,0,1,0,1,0,0,0,0.6118019908251799,0.7910109506336473,No
0,1,1,0,1,1,0,1,0,0,0,0,0.7071067811865475,0.7071067811865475,No
0,0,1,0,0,1,0,0,0,0,1,0,0.32502465389724766,0.9457055431575805,Yes
0,0,0,0,1,0,1,0,0,0,0,1,0.5263335701121743,0.850278173877804,No
0,0,0,1,0,0,0,0,1,0,0,0,0.5113366384604597,0.8593804990619447,No
0,0,1,0,1,1,0,0,1,0,0,0,0.7071067811865476,0.7071067811865476,No
0,1,0,0,1,0,0,0,0,0,1,0,0.7071067811865476,0.7071067811865476,No
0,0,1,1,0,0,0,1,0,0,0,0,0.6143911930199518,0.7890015601629191,Yes
1,0,0,0,1,0,1,0,1,0,0,0,0.5524723099003703,0.8335312512397776,No
0,1,0,0,1,0,1,0,0,1,0,0,0.33436692754521175,0.9424429732158733,No
0,1,1,0,1,1,0,0,0,1,0,0,0.5080125755243821,0.8613496520630192,No
0,0,1,0,1,0,0,0,1,0,0,0,0.4579645659045698,0.8889704474142203,No
0,1,1,0,0,0,1,0,0,0,1,0,0.4257081592160346,0.9048605213937092,No
1,0,0,0,1,0,1,0,0,1,0,0,0.44041068748442425,0.8977964281224874,No
0,0,1,1,0,0,1,1,0,0,0,0,0.5942077512434224,0.8043115990474308,Yes
1,0,1,0,1,0,0,1,0,0,0,0,0.39278807652128234,0.9196290159312674,No
0,0,1,0,1,0,0,0,1,0,0,0,0.5505371268688604,0.8348106802976232,No
1,0,1,0,1,0,0,0,0,1,0,0,0.436484120260633,0.8997119609965744,No
1,0,0,0,1,0,0,1,0,0,0,0,0.21806523691878896,0.9759341947321819,No
1,0,0,0,1,1,0,0,1,0,0,0,0.7071067811865476,0.7071067811865476,No
1,0,1,0,1,0,0,1,0,0,0,0,0.5103274015387267,0.8599801993294561,No
1,0,0,0,1,1,0,0,0,1,0,0,0.4254384524907797,0.9049873607638123,No
1,0,1,1,0,1,0,1,0,0,0,0,0.6643841132959156,0.7473912964438374,No
1,0,0,0,0,0,0,0,1,0,0,0,0.6345349425809762,0.7728941755788804,No
0,0,0,0,1,0,1,1,0,0,0,0,0.5747437083869038,0.8183334709454757,No
0,1,1,0,1,1,0,0,0,1,0,0,0.46742635244280273,0.8840320158467208,No
0,1,1,0,1,0,0,0,0,0,1,0,0.6036882773152574,0.7972204612477887,No
0,0,1,0,1,0,0,1,0,0,0,0,0.3192162704616831,0.9476818942411708,No
0,0,0,0,0,0,0,0,0,0,0,0,0.39394248052996483,0.9191350945502508,No
1,0,1,0,1,0,0,0,0,0,0,0,0.5444637367213571,0.8387843819453346,No
0,0,0,1,0,0,0,0,1,0,0,0,0.5706644326895116,0.821183356664733,No
1,0,1,0,0,1,0,0,0,0,1,0,0.6332231829316521,0.7739692504214281,Yes
0,0,0,0,1,0,1,0,0,1,0,0,0.4817628988581213,0.8763016086278853,No
1,0,1,0,1,1,0,0,0,0,1,0,0.39000456390989857,0.9208129235243443,Yes
1,0,0,0,0,1,0,0,1,0,0,0,0.6621642835894568,0.7493587001820033,No
0,1,1,1,0,0,1,1,0,0,0,0,0.6489676645639563,0.7608159898098911,No
1,0,1,0,1,0,1,0,0,1,0,0,0.6782604033269151,0.7348216282056553,No
1,0,0,0,0,1,0,0,0,1,0,0,0.4866516586120269,0.8735961098643715,No
0,1,1,0,1,0,1,0,1,0,0,0,0.4561964305494655,0.8898791023245387,No
1,0,1,0,0,0,0,0,0,0,1,0,0.671184136469877,0.741290668328683,No
0,0,1,0,1,0,1,0,1,0,0,0,0.31196730753916513,0.9500928370568656,No
1,0,1,0,1,0,0,0,0,1,0,0,0.4411431382944133,0.897436756287459,No
0,0,0,0,1,0,0,0,0,0,1,0,0.6643934221373312,0.7473830213623038,No
0,1,1,0,1,0,1,0,0,1,0,0,0.4865096062857947,0.8736752274109877,No
1,0,1,0,1,0,0,0,0,0,1,0,0.4486133284860112,0.8937259543644809,No
0,0,1,0,1,1,0,0,1,0,0,0,0.4025061157105039,0.91541729654603,No
0,1,1,1,0,1,0,1,0,0,0,0,0.45042811015365314,0.8928127001691947,No
0,0,0,0,1,0,0,0,1,0,0,0,0.6284142412443611,0.7778788732195225,No
1,0,0,0,1,0,0,1,0,0,0,0,0.5582221376155345,0.8296915360999793,No
0,0,0,1,0,0,1,0,1,0,0,0,0.5413460589637238,0.8407998837086292,No
1,0,1,0,1,1,0,0,1,0,0,0,0.36124155915593326,0.9324722708684642,No
0,1,1,1,0,0,1,0,0,1,0,0,0.6250091440443016,0.7806174286172514,No
0,0,1,1,0,0,1,1,0,0,0,0,0.6023978597584745,0.7981959775383545,No
0,1,0,1,0,1,0,0,1,0,0,0,0.6398304724057953,0.7685160808863903,Yes
0,1,0,1,0,0,1,0,1,0,0,0,0.3859117454077613,0.9225357037840516,No
1,0,0,1,0,0,0,0,1,0,0,0,0.5826229838277955,0.8127425537743157,No
0,1,1,0,0,1,0,0,0,0,0,1,0.29724302120423024,0.954801857112449,Yes
1,0,0,1,0,0,0,1,0,0,0,0,0.420823610332424,0.907142485493202,No
1,0,0,0,0,1,0,0,0,0,1,0,0.37359867736844143,0.9275904420963765,No
1,0,1,0,1,0,0,0,0,0,1,0,0.5622775016465968,0.8269486145717043,No
0,1,0,1,0,0,0,0,0,0,1,0,0.47376509900126906,0.8806512538844863,No
